"Date","Day_of_the_week","Number_of_the_week","Name_of_clinic","Count_of_chekups"
"11/1/24","Friday","44","deFactum","29"
"11/1/24","Friday","44","deFactum_Kids","10"
"11/2/24","Saturday","44","deFactum","33"
"11/2/24","Saturday","44","deFactum_Kids","6"
"11/4/24","Monday","45","deFactum","22"
"11/4/24","Monday","45","deFactum_Kids","9"
"11/5/24","Tuesday","45","deFactum","23"
"11/5/24","Tuesday","45","deFactum_Kids","15"
"11/6/24","Wednesday","45","deFactum","36"
"11/6/24","Wednesday","45","deFactum_Kids","10"
"11/7/24","Thursday","45","deFactum","17"
"11/7/24","Thursday","45","deFactum_Kids","12"
"11/8/24","Friday","45","deFactum","28"
"11/8/24","Friday","45","deFactum_Kids","7"
"11/9/24","Saturday","45","deFactum","20"
"11/9/24","Saturday","45","deFactum_Kids","11"
"11/11/24","Monday","46","deFactum","25"
"11/11/24","Monday","46","deFactum_Kids","12"
"11/12/24","Tuesday","46","deFactum","26"
"11/12/24","Tuesday","46","deFactum_Kids","10"
"11/13/24","Wednesday","46","deFactum","28"
"11/13/24","Wednesday","46","deFactum_Kids","6"
"11/14/24","Thursday","46","deFactum","36"
"11/14/24","Thursday","46","deFactum_Kids","10"
"11/15/24","Friday","46","deFactum","23"
"11/15/24","Friday","46","deFactum_Kids","8"
"11/16/24","Saturday","46","deFactum","28"
"11/16/24","Saturday","46","deFactum_Kids","2"
"11/18/24","Monday","47","deFactum","28"
"11/18/24","Monday","47","deFactum_Kids","14"
"11/19/24","Tuesday","47","deFactum","26"
"11/19/24","Tuesday","47","deFactum_Kids","8"
"11/20/24","Wednesday","47","deFactum","29"
"11/20/24","Wednesday","47","deFactum_Kids","13"
"11/21/24","Thursday","47","deFactum","29"
"11/21/24","Thursday","47","deFactum_Kids","5"
"11/22/24","Friday","47","deFactum","23"
"11/22/24","Friday","47","deFactum_Kids","9"
"11/23/24","Saturday","47","deFactum","32"
"11/23/24","Saturday","47","deFactum_Kids","10"
"11/25/24","Monday","48","deFactum","25"
"11/25/24","Monday","48","deFactum_Kids","7"
"11/26/24","Tuesday","48","deFactum","21"
"11/26/24","Tuesday","48","deFactum_Kids","11"
"11/27/24","Wednesday","48","deFactum","20"
"11/27/24","Wednesday","48","deFactum_Kids","12"
"11/28/24","Thursday","48","deFactum","32"
"11/28/24","Thursday","48","deFactum_Kids","6"
"11/29/24","Friday","48","deFactum","28"
"11/29/24","Friday","48","deFactum_Kids","12"
"11/30/24","Saturday","48","deFactum","29"
"11/30/24","Saturday","48","deFactum_Kids","13"
"12/2/24","Monday","49","deFactum","24"
"12/2/24","Monday","49","deFactum_Kids","10"
"12/3/24","Tuesday","49","deFactum","29"
"12/3/24","Tuesday","49","deFactum_Kids","8"
"12/4/24","Wednesday","49","deFactum","19"
"12/4/24","Wednesday","49","deFactum_Kids","10"
"12/5/24","Thursday","49","deFactum","26"
"12/5/24","Thursday","49","deFactum_Kids","17"
"12/6/24","Friday","49","deFactum","32"
"12/6/24","Friday","49","deFactum_Kids","17"
"12/7/24","Saturday","49","deFactum","24"
"12/7/24","Saturday","49","deFactum_Kids","15"
"12/9/24","Monday","50","deFactum","27"
"12/9/24","Monday","50","deFactum_Kids","9"
"12/10/24","Tuesday","50","deFactum","24"
"12/10/24","Tuesday","50","deFactum_Kids","2"
"12/11/24","Wednesday","50","deFactum","28"
"12/11/24","Wednesday","50","deFactum_Kids","9"
"12/12/24","Thursday","50","deFactum","24"
"12/12/24","Thursday","50","deFactum_Kids","7"
"12/13/24","Friday","50","deFactum","36"
"12/13/24","Friday","50","deFactum_Kids","11"
"12/14/24","Saturday","50","deFactum","24"
"12/14/24","Saturday","50","deFactum_Kids","11"
"12/16/24","Monday","51","deFactum","27"
"12/16/24","Monday","51","deFactum_Kids","12"
"12/17/24","Tuesday","51","deFactum","26"
"12/17/24","Tuesday","51","deFactum_Kids","13"
"12/18/24","Wednesday","51","deFactum","22"
"12/18/24","Wednesday","51","deFactum_Kids","4"
"12/19/24","Thursday","51","deFactum","20"
"12/19/24","Thursday","51","deFactum_Kids","4"
"12/20/24","Friday","51","deFactum","25"
"12/20/24","Friday","51","deFactum_Kids","17"
"12/21/24","Saturday","51","deFactum","35"
"12/21/24","Saturday","51","deFactum_Kids","4"
"12/23/24","Monday","52","deFactum","29"
"12/23/24","Monday","52","deFactum_Kids","12"
"12/24/24","Tuesday","52","deFactum","25"
"12/24/24","Tuesday","52","deFactum_Kids","12"
"12/25/24","Wednesday","52","deFactum","32"
"12/25/24","Wednesday","52","deFactum_Kids","10"
"12/26/24","Thursday","52","deFactum","24"
"12/26/24","Thursday","52","deFactum_Kids","9"
"12/27/24","Friday","52","deFactum","28"
"12/27/24","Friday","52","deFactum_Kids","4"
"12/28/24","Saturday","52","deFactum","25"
"12/28/24","Saturday","52","deFactum_Kids","5"
"12/30/24","Monday","53","deFactum","29"
"12/30/24","Monday","53","deFactum_Kids","16"
"12/31/24","Tuesday","53","deFactum","30"
"12/31/24","Tuesday","53","deFactum_Kids","2"
"1/1/25","Wednesday","1","deFactum","24"
"1/1/25","Wednesday","1","deFactum_Kids","12"
"1/2/25","Thursday","1","deFactum","29"
"1/2/25","Thursday","1","deFactum_Kids","9"
"1/3/25","Friday","1","deFactum","34"
"1/3/25","Friday","1","deFactum_Kids","17"
"1/4/25","Saturday","1","deFactum","25"
"1/4/25","Saturday","1","deFactum_Kids","17"
"1/6/25","Monday","2","deFactum","24"
"1/6/25","Monday","2","deFactum_Kids","10"
"1/7/25","Tuesday","2","deFactum","29"
"1/7/25","Tuesday","2","deFactum_Kids","19"
"1/8/25","Wednesday","2","deFactum","36"
"1/8/25","Wednesday","2","deFactum_Kids","13"
"1/9/25","Thursday","2","deFactum","34"
"1/9/25","Thursday","2","deFactum_Kids","8"
"1/10/25","Friday","2","deFactum","26"
"1/10/25","Friday","2","deFactum_Kids","13"
"1/11/25","Saturday","2","deFactum","30"
"1/11/25","Saturday","2","deFactum_Kids","11"
"1/13/25","Monday","3","deFactum","25"
"1/13/25","Monday","3","deFactum_Kids","11"
"1/14/25","Tuesday","3","deFactum","23"
"1/14/25","Tuesday","3","deFactum_Kids","9"
"1/15/25","Wednesday","3","deFactum","21"
"1/15/25","Wednesday","3","deFactum_Kids","16"
"1/16/25","Thursday","3","deFactum","27"
"1/16/25","Thursday","3","deFactum_Kids","8"
"1/17/25","Friday","3","deFactum","28"
"1/17/25","Friday","3","deFactum_Kids","14"
"1/18/25","Saturday","3","deFactum","30"
"1/18/25","Saturday","3","deFactum_Kids","9"
"1/20/25","Monday","4","deFactum","28"
"1/20/25","Monday","4","deFactum_Kids","10"
"1/21/25","Tuesday","4","deFactum","30"
"1/21/25","Tuesday","4","deFactum_Kids","6"
"1/22/25","Wednesday","4","deFactum","23"
"1/22/25","Wednesday","4","deFactum_Kids","15"
"1/23/25","Thursday","4","deFactum","19"
"1/23/25","Thursday","4","deFactum_Kids","7"
"1/24/25","Friday","4","deFactum","27"
"1/24/25","Friday","4","deFactum_Kids","7"
"1/25/25","Saturday","4","deFactum","20"
"1/25/25","Saturday","4","deFactum_Kids","10"
"1/27/25","Monday","5","deFactum","30"
"1/27/25","Monday","5","deFactum_Kids","11"
"1/28/25","Tuesday","5","deFactum","34"
"1/28/25","Tuesday","5","deFactum_Kids","14"
"1/29/25","Wednesday","5","deFactum","30"
"1/29/25","Wednesday","5","deFactum_Kids","13"
"1/30/25","Thursday","5","deFactum","25"
"1/30/25","Thursday","5","deFactum_Kids","9"
"1/31/25","Friday","5","deFactum","27"
"1/31/25","Friday","5","deFactum_Kids","6"